Date,Close,High,Low,Open,Volume
2019-07-01,135.680419921875,135.96777990630315,133.3528347410523,134.53099459989826,8972400
2019-07-02,136.5233612060547,136.83945577958724,135.31646661089812,135.44097808599517,7554100
2019-07-03,136.95440673828125,136.97356797306222,136.01571085436947,136.68620791430646,4150900
2019-07-05,137.291748046875,137.71581758439493,135.60511719935502,136.29904649597785,5596000
2019-07-08,135.91351318359375,137.07968950326014,135.86532079791507,137.03149711758147,4993900
2019-07-09,136.48214721679688,136.58816458443496,134.68949926798544,134.98827147507873,7396300
2019-07-10,138.34226989746094,139.02656657457604,136.8676738686988,137.24355099943713,9533700
2019-07-11,138.3615264892578,140.07706948480578,138.34224659429353,138.79522853532313,10471100
2019-07-12,139.63372802734375,140.16380010985006,138.7855891653333,138.93015160488045,8510000
2019-07-15,139.80722045898438,140.0963600805298,138.75669405007963,139.87469274338753,5289200
2019-07-16,139.07473754882812,139.7397542253157,138.60247570601422,139.50843960115662,5854700
2019-07-17,137.40737915039062,139.4409594429454,137.21460962135674,139.3638692788322,5296400
2019-07-18,136.5014190673828,137.301365574913,135.09428088041687,137.301365574913,8031700
2019-07-19,134.78590393066406,137.08935916175685,134.6798865473814,137.08935916175685,6109900
2019-07-22,135.74002075195312,136.3182999557321,134.940074226101,136.13517771766038,7706400
2019-07-23,136.14480590820312,137.37845444385897,135.19066437095793,136.5206829666256,7514500
2019-07-24,136.1737060546875,136.4628456210179,135.3159346551985,136.279723405467,5896600
2019-07-25,138.02420043945312,138.04346562694207,135.9327658031547,136.27973035920536,7294400
2019-07-26,139.41204833984375,139.9325025434053,137.869995036005,138.53501168152783,8139400
2019-07-29,141.0890655517578,141.8215398685897,139.91324184167738,140.3180314409465,11674100
2019-07-30,139.68191528320312,141.4842104885869,139.37351048893368,140.48186181814597,6563100
2019-07-31,137.83145141601562,139.74939670644451,137.18571458908784,139.73976411126728,9710700
2019-08-01,136.71343994140625,139.2963867299771,136.1447934026917,138.149475765556,8911700
2019-08-02,136.57855224609375,137.07007936554237,134.87264151608983,135.88462295613465,6539100
2019-08-05,133.29200744628906,135.15211295919525,132.06799142889005,134.10158659057203,10669700
2019-08-06,136.73272705078125,136.80983192782116,133.359465888106,135.32560348699474,18818900
2019-08-07,129.9765625,130.94998392628125,127.47070565375556,130.0440200710044,29084500
2019-08-08,132.8968505859375,133.00286795299067,131.08492275130206,132.90648318066906,14054800
2019-08-09,133.50404357910156,134.19797276897285,131.807765689971,132.13546509525864,8811900
2019-08-12,130.83433532714844,132.58843807893263,130.33316101146002,132.3378435679631,7918900
2019-08-13,132.0487060546875,132.92575744439887,130.1114957456142,130.1114957456142,8145400
2019-08-14,128.0393524169922,130.25605496911132,127.87549537379161,130.16931750359373,11797700
2019-08-15,128.57908630371094,129.41757797739365,127.67312234507565,128.66582377900525,7590100
2019-08-16,130.30426025390625,130.5933998738441,128.98387412723406,129.16699637673645,6353800
2019-08-19,130.3909912109375,132.6366210679216,129.41756973559296,131.83667453211817,11741800
2019-08-20,130.23678588867188,131.1138225242228,128.43449082358356,128.50196309891442,8628000
2019-08-21,130.84397888183594,131.13311849996336,129.1959080591379,129.73562750297472,6325000
2019-08-22,131.15240478515625,131.72103674788107,129.812738705282,131.26805475554025,6967100
2019-08-23,126.9020767211914,131.49935367541116,126.27561984819799,130.60302239337736,10190900
2019-08-26,129.73561096191406,129.76452344941532,127.75020838682738,129.33082143064638,8093800
2019-08-27,129.61996459960938,131.065647839687,129.33082501034377,130.8536131213089,6013600
2019-08-28,131.60536193847656,131.77883686131113,128.68508308742915,129.20552256218272,5950500
2019-08-29,132.8486785888672,133.65825785811433,132.44388895424362,133.1185383452829,6532700
2019-08-30,132.28964233398438,133.48474571259248,131.80774794513025,133.2823435985239,5622200
2019-09-03,131.37403869628906,131.48005604424426,130.16930279054765,131.43186366676483,5997400
2019-09-04,132.8968505859375,133.1956227913824,131.4511672386224,131.78849923549652,4285400
2019-09-05,133.8124542236328,134.2268911191831,133.3112945583774,133.8895591043457,5143500
2019-09-06,134.49673461914062,134.74731442153143,133.2438061946855,134.09194507393215,4090000
2019-09-09,133.80282592773438,135.0075621533609,133.46549390205786,134.52566766311028,5458700
2019-09-10,130.8728790283203,133.42692825690554,129.70670277708462,133.11850877166108,10974600
2019-09-11,131.25839233398438,131.30658471277772,130.04400909588867,130.65120071493652,7896400
2019-09-12,132.52096557617188,133.64859675486997,131.59572181848978,131.88486141190612,7333900
2019-09-13,133.02215576171875,133.21491061157676,132.14510428267454,132.8583134040268,5209100
2019-09-16,130.8825225830078,132.27038081438877,130.4006281807922,131.35476968517906,6329300
2019-09-17,131.37403869628906,131.7788281958683,130.75721450079942,130.88251174099614,4726500
2019-09-18,131.84632873535156,132.10655586453785,130.80543492485842,131.4704516404167,6857900
2019-09-19,128.47305297851562,132.38603324480513,128.18391339052002,132.03906868046047,12216100
2019-09-20,127.4803466796875,128.4055756775698,126.8442425522373,128.21282086186514,25231600
2019-09-23,127.66348266601562,128.07790482914967,127.11411594046432,127.21050071183339,6096100
2019-09-24,127.19122314453125,129.29227590132427,126.73824118205724,129.1573460426885,11904000
2019-09-25,128.27069091796875,128.58874309347647,126.46840996301331,127.01776211615942,6523000
2019-09-26,126.51656341552734,128.47305355748918,124.38658363748618,128.3188438156965,11615100
2019-09-27,125.25399780273438,126.25633167505356,124.25164922416532,125.38892764528215,8401300
2019-09-30,125.6009750366211,126.12141456577777,125.11908059226252,125.6298875267825,5532500
2019-10-01,124.85884094238281,127.00808583075037,124.82028115520365,126.06357693235901,5978500
2019-10-02,124.46369934082031,124.54080421842731,122.95055104513088,123.85650762107257,8296100
2019-10-03,123.50953674316406,124.7431853096281,122.92163230240817,123.94325349592563,8498700
2019-10-04,125.55278015136719,125.71662249443709,123.95288709844786,124.02999197276034,6732900
2019-10-07,126.15996551513672,126.80571704209625,124.36731751054128,125.55278848727113,5784100
2019-10-08,123.81794738769531,125.33108814514357,123.72156262591523,125.19615830240136,6526000
2019-10-09,124.64682006835938,125.14799441357347,123.42280404891883,124.42515273934701,5004600
2019-10-10,124.65644073486328,125.42747472150909,124.21310611926076,124.54079078405395,4512000
2019-10-11,125.31183624267578,126.24671264730371,125.13834659432915,125.58169595676927,6559000
2019-10-14,125.00341033935547,125.58168952924483,124.79137561681276,125.41784719023467,3710300
2019-10-15,125.06124877929688,126.15033499811442,124.71428416926445,125.30219601664574,5914700
2019-10-16,126.12141418457031,127.05629058030037,125.00341554753729,125.06124052768531,7610800
2019-10-17,127.57674407958984,128.60800535934052,125.78409596742041,127.73095384770726,8005100
2019-10-18,126.15032196044922,128.3381267672173,126.15032196044922,127.57672534038466,8694000
2019-10-21,125.54313659667969,126.95990745366244,125.31183667309165,126.68041514390973,6257100
2019-10-22,127.60565948486328,128.83930824544933,127.31653454586127,128.3285012448748,9291600
2019-10-23,126.38163757324219,127.8754985371687,126.0250256957638,127.65383121772328,5970800
2019-10-24,125.54313659667969,126.93099496321393,124.93595959100958,126.7575200205229,5746300
2019-10-25,126.15996551513672,126.98882458621314,125.32147384897584,125.77445582422993,6696000
2019-10-28,125.8033676147461,127.29724339462692,125.42749052101819,126.69005166389263,8940300
2019-10-29,124.79138946533203,126.03468544969166,124.75284437797893,125.77445831473811,9305100
2019-10-30,124.90705108642578,125.59133299054494,124.47333430335502,124.99378856053914,10880000
2019-10-31,125.21544647216797,125.43711379141351,124.08781527480913,124.83956940638168,9628300
2019-11-01,127.94296264648438,127.99115502752588,125.78407044957433,126.24669966007286,8507600
2019-11-04,128.10682678222656,129.28265048977786,127.67312469153198,129.26337059282963,7631800
2019-11-05,126.6900405883789,127.96224892131693,126.1503211887994,127.96224892131693,7404500
2019-11-06,126.51656341552734,126.89244046974045,125.92865164291194,126.8346154931308,9132500
2019-11-07,128.14537048339844,128.85856481214233,126.97917951764738,127.5574587034538,18047600
2019-11-08,132.9643096923828,135.17137957983473,131.78848617657872,135.1424670922535,24175900
2019-11-11,131.7884979248047,133.5425860548511,131.27769099033367,132.52097218590905,10138400
2019-11-12,133.56187438964844,134.2943486970351,131.78850625202665,133.03178752616034,17284000
2019-11-13,143.3346710205078,144.49121463528803,131.88485540980898,133.56185321030273,45725400
2019-11-14,141.82154846191406,145.17554484123244,140.98305672021115,142.6407750117124,28393600
